Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related HealthConsumables,0103,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,0130,Assistance Animals,3,Consumables,MON,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,0133,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports
04_102_0125_6_1_T,Access Community Social and Rec Activ - Standard - Public Holiday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports
04_102_0136_6_1_T,Group Activities - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports
04_103_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Evening - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports
04_103_0136_6_1_T,Group Activities - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports
04_104_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Daytime - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports
04_104_0136_6_1,Group Activities - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports
04_104_0136_6_1_T,Group Activities - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports
04_105_0125_6_1_T,Access Community Social and Rec Activ - Standard - Saturday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports
04_105_0136_6_1,Group Activities - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports
04_105_0136_6_1_T,Group Activities - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports
04_106_0125_6_1_T,Access Community Social and Rec Activ - Standard - Sunday - TTP,0125,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports
04_106_0136_6_1,Group Activities - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports
04_106_0136_6_1_T,Group Activities - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports
04_111_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$51.32,$54.99,N,Y,Y,N,N,Price Limited Supports
04_111_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Daytime-TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$52.09,$55.82,N,Y,Y,N,N,Price Limited Supports
04_112_0136_6_1,Group Activities In The Community - 1:2 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$72.23,$77.39,N,Y,Y,N,N,Price Limited Supports
04_112_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$73.30,$78.54,N,Y,Y,N,N,Price Limited Supports
04_113_0136_6_1,Group Activities In The Community - 1:2 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.52,$66.52,$66.52,$66.52,$66.52,$66.52,$66.52,$66.52,$93.13,$99.78,N,Y,Y,N,N,Price Limited Supports
04_113_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$67.51,$67.51,$67.51,$67.51,$67.51,$67.51,$67.51,$67.51,$94.51,$101.27,N,Y,Y,N,N,Price Limited Supports
04_114_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$56.55,$60.59,N,Y,Y,N,N,Price Limited Supports
04_114_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$41.00,$41.00,$41.00,$41.00,$41.00,$41.00,$41.00,$41.00,$57.40,$61.50,N,Y,Y,N,N,Price Limited Supports
04_116_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$39.68,$39.68,$39.68,$39.68,$39.68,$39.68,$39.68,$39.68,$55.55,$59.52,N,Y,Y,N,N,Price Limited Supports
04_116_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$40.22,$40.22,$40.22,$40.22,$40.22,$40.22,$40.22,$40.22,$56.31,$60.33,N,Y,Y,N,N,Price Limited Supports
04_117_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$55.83,$55.83,$55.83,$55.83,$55.83,$55.83,$55.83,$55.83,$78.16,$83.75,N,Y,Y,N,N,Price Limited Supports
04_117_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$56.60,$56.60,$56.60,$56.60,$56.60,$56.60,$56.60,$56.60,$79.24,$84.90,N,Y,Y,N,N,Price Limited Supports
04_118_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$71.98,$71.98,$71.98,$71.98,$71.98,$71.98,$71.98,$71.98,$100.77,$107.97,N,Y,Y,N,N,Price Limited Supports
04_118_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.98,$72.98,$72.98,$72.98,$72.98,$72.98,$72.98,$72.98,$102.17,$109.47,N,Y,Y,N,N,Price Limited Supports
04_119_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$43.71,$43.71,$43.71,$43.71,$43.71,$43.71,$43.71,$43.71,$61.19,$65.57,N,Y,Y,N,N,Price Limited Supports
04_119_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$44.32,$44.32,$44.32,$44.32,$44.32,$44.32,$44.32,$44.32,$62.05,$66.48,N,Y,Y,N,N,Price Limited Supports
04_120_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$27.06,$27.06,$27.06,$27.06,$27.06,$27.06,$27.06,$27.06,$37.88,$40.59,N,Y,Y,N,N,Price Limited Supports
04_120_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$27.47,$27.47,$27.47,$27.47,$27.47,$27.47,$27.47,$27.47,$38.46,$41.21,N,Y,Y,N,N,Price Limited Supports
04_121_0136_6_1,Group Activities In The Community - 1:3 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$38.08,$38.08,$38.08,$38.08,$38.08,$38.08,$38.08,$38.08,$53.31,$57.12,N,Y,Y,N,N,Price Limited Supports
04_121_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$38.65,$38.65,$38.65,$38.65,$38.65,$38.65,$38.65,$38.65,$54.11,$57.98,N,Y,Y,N,N,Price Limited Supports
04_122_0136_6_1,Group Activities In The Community - 1:3 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$49.10,$49.10,$49.10,$49.10,$49.10,$49.10,$49.10,$49.10,$68.74,$73.65,N,Y,Y,N,N,Price Limited Supports
04_122_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$49.83,$49.83,$49.83,$49.83,$49.83,$49.83,$49.83,$49.83,$69.76,$74.75,N,Y,Y,N,N,Price Limited Supports
04_123_0136_6_1,Group Activities In The Community - 1:3 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$29.81,$29.81,$29.81,$29.81,$29.81,$29.81,$29.81,$29.81,$41.73,$44.72,N,Y,Y,N,N,Price Limited Supports
04_123_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$30.26,$30.26,$30.26,$30.26,$30.26,$30.26,$30.26,$30.26,$42.36,$45.39,N,Y,Y,N,N,Price Limited Supports
04_124_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$29.28,$29.28,$29.28,$29.28,$29.28,$29.28,$29.28,$29.28,$40.99,$43.92,N,Y,Y,N,N,Price Limited Supports
04_124_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$29.69,$29.69,$29.69,$29.69,$29.69,$29.69,$29.69,$29.69,$41.57,$44.54,N,Y,Y,N,N,Price Limited Supports
04_125_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$41.21,$41.21,$41.21,$41.21,$41.21,$41.21,$41.21,$41.21,$57.69,$61.82,N,Y,Y,N,N,Price Limited Supports
04_125_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$41.78,$41.78,$41.78,$41.78,$41.78,$41.78,$41.78,$41.78,$58.49,$62.67,N,Y,Y,N,N,Price Limited Supports
04_126_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$53.13,$53.13,$53.13,$53.13,$53.13,$53.13,$53.13,$53.13,$74.38,$79.70,N,Y,Y,N,N,Price Limited Supports
04_126_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$53.87,$53.87,$53.87,$53.87,$53.87,$53.87,$53.87,$53.87,$75.42,$80.81,N,Y,Y,N,N,Price Limited Supports
04_127_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$32.26,$32.26,$32.26,$32.26,$32.26,$32.26,$32.26,$32.26,$45.16,$48.39,N,Y,Y,N,N,Price Limited Supports
04_127_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$32.71,$32.71,$32.71,$32.71,$32.71,$32.71,$32.71,$32.71,$45.79,$49.07,N,Y,Y,N,N,Price Limited Supports
04_128_0136_6_1,Group Activities In The Community - 1:2 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$81.45,$81.45,$81.45,$81.45,$81.45,$81.45,$81.45,$81.45,$114.03,$122.18,N,Y,Y,N,N,Price Limited Supports
04_128_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$82.67,$82.67,$82.67,$82.67,$82.67,$82.67,$82.67,$82.67,$115.74,$124.01,N,Y,Y,N,N,Price Limited Supports
04_129_0136_6_1,Group Activities In The Community - 1:3 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$60.12,$60.12,$60.12,$60.12,$60.12,$60.12,$60.12,$60.12,$84.17,$90.18,N,Y,Y,N,N,Price Limited Supports
04_129_0136_6_1_T,Group Activities In The Community - 1:3 - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$61.02,$61.02,$61.02,$61.02,$61.02,$61.02,$61.02,$61.02,$85.43,$91.53,N,Y,Y,N,N,Price Limited Supports
04_130_0104_6_1,Group Activities In The Community - 1:2 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$88.14,$88.14,$88.14,$88.14,$88.14,$88.14,$88.14,$88.14,$123.40,$132.21,N,Y,Y,N,N,Price Limited Supports
04_130_0104_6_1_T,Group Activities In The Community - 1:2 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$89.36,$89.36,$89.36,$89.36,$89.36,$89.36,$89.36,$89.36,$125.10,$134.04,N,Y,Y,N,N,Price Limited Supports
04_131_0104_6_1,Group Activities In The Community - 1:3 - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.05,$65.05,$65.05,$65.05,$65.05,$65.05,$65.05,$65.05,$91.07,$97.58,N,Y,Y,N,N,Price Limited Supports
04_131_0104_6_1_T,Group Activities In The Community - 1:3 - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.96,$65.96,$65.96,$65.96,$65.96,$65.96,$65.96,$65.96,$92.34,$98.94,N,Y,Y,N,N,Price Limited Supports
04_136_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$22.26,$22.26,$22.26,$22.26,$22.26,$22.26,$22.26,$22.26,$31.16,$33.39,N,Y,Y,N,N,Price Limited Supports
04_136_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$22.59,$22.59,$22.59,$22.59,$22.59,$22.59,$22.59,$22.59,$31.63,$33.89,N,Y,Y,N,N,Price Limited Supports
04_137_0136_6_1,Group Activities In The Community - 1:4 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$24.52,$24.52,$24.52,$24.52,$24.52,$24.52,$24.52,$24.52,$34.33,$36.78,N,Y,Y,N,N,Price Limited Supports
04_137_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$24.89,$24.89,$24.89,$24.89,$24.89,$24.89,$24.89,$24.89,$34.85,$37.34,N,Y,Y,N,N,Price Limited Supports
04_138_0136_6_1,Group Activities In The Community - 1:4 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$31.32,$31.32,$31.32,$31.32,$31.32,$31.32,$31.32,$31.32,$43.85,$46.98,N,Y,Y,N,N,Price Limited Supports
04_138_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$31.79,$31.79,$31.79,$31.79,$31.79,$31.79,$31.79,$31.79,$44.51,$47.69,N,Y,Y,N,N,Price Limited Supports
04_139_0136_6_1,Group Activities In The Community - 1:4 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$40.39,$56.55,$60.59,N,Y,Y,N,N,Price Limited Supports
04_139_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$40.99,$40.99,$40.99,$40.99,$40.99,$40.99,$40.99,$40.99,$57.39,$61.49,N,Y,Y,N,N,Price Limited Supports
04_140_0136_6_1,Group Activities In The Community - 1:4 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$49.45,$49.45,$49.45,$49.45,$49.45,$49.45,$49.45,$49.45,$69.23,$74.18,N,Y,Y,N,N,Price Limited Supports
04_140_0136_6_1_T,Group Activities In The Community - 1:4 - Standard - Public Holiday -TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$50.19,$50.19,$50.19,$50.19,$50.19,$50.19,$50.19,$50.19,$70.27,$75.29,N,Y,Y,N,N,Price Limited Supports
04_141_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Daytime,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$19.38,$19.38,$19.38,$19.38,$19.38,$19.38,$19.38,$19.38,$27.13,$29.07,N,Y,Y,N,N,Price Limited Supports
04_141_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Daytime - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$19.67,$19.67,$19.67,$19.67,$19.67,$19.67,$19.67,$19.67,$27.54,$29.51,N,Y,Y,N,N,Price Limited Supports
04_142_0136_6_1,Group Activities In The Community - 1:5 - Standard - Weekday Evening,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$21.35,$21.35,$21.35,$21.35,$21.35,$21.35,$21.35,$21.35,$29.89,$32.03,N,Y,Y,N,N,Price Limited Supports
04_142_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Weekday Evening - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$21.67,$21.67,$21.67,$21.67,$21.67,$21.67,$21.67,$21.67,$30.34,$32.51,N,Y,Y,N,N,Price Limited Supports
04_143_0136_6_1,Group Activities In The Community - 1:5 - Standard - Saturday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$27.27,$27.27,$27.27,$27.27,$27.27,$27.27,$27.27,$27.27,$38.18,$40.91,N,Y,Y,N,N,Price Limited Supports
04_143_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Saturday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$27.68,$27.68,$27.68,$27.68,$27.68,$27.68,$27.68,$27.68,$38.75,$41.52,N,Y,Y,N,N,Price Limited Supports
04_144_0136_6_1,Group Activities In The Community - 1:5 - Standard - Sunday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$35.16,$35.16,$35.16,$35.16,$35.16,$35.16,$35.16,$35.16,$49.22,$52.74,N,Y,Y,N,N,Price Limited Supports
04_144_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Sunday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$35.69,$35.69,$35.69,$35.69,$35.69,$35.69,$35.69,$35.69,$49.97,$53.54,N,Y,Y,N,N,Price Limited Supports
04_145_0136_6_1,Group Activities In The Community - 1:5 - Standard - Public Holiday,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$43.05,$43.05,$43.05,$43.05,$43.05,$43.05,$43.05,$43.05,$60.27,$64.58,N,Y,Y,N,N,Price Limited Supports
04_145_0136_6_1_T,Group Activities In The Community - 1:5 - Standard - Public Holiday - TTP,0136,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$43.70,$43.70,$43.70,$43.70,$43.70,$43.70,$43.70,$43.70,$61.18,$65.55,N,Y,Y,N,N,Price Limited Supports
